,class,probs
0,d,0.84
1,c,0.72
2,c,0.67
3,b,0.63
4,a,0.56
5,b,0.61
6,d,0.61
7,d,0.67
8,b,0.61
9,a,0.6
10,c,0.61
11,a,0.7
12,a,0.74
13,b,0.63
14,c,0.64
15,b,0.61
16,c,0.66
17,b,0.6
18,c,0.61
19,d,0.68
20,d,0.64
21,b,0.7
22,c,0.59
23,d,0.6
24,c,0.58
25,a,0.61
26,d,0.57
27,a,0.7
28,b,0.74
29,a,0.6
30,d,0.53
31,a,0.83
32,d,0.58
33,a,0.76
34,d,0.55
35,d,0.55
36,d,0.68
37,c,0.63
38,d,0.67
39,a,0.55
40,a,0.59
41,a,0.59
42,d,0.61
43,c,0.59
44,a,0.63
45,c,0.64
46,a,0.62
47,d,0.56
48,d,0.58
49,d,0.61
50,a,0.69
51,b,0.65
52,b,0.58
53,a,0.64
54,a,0.54
55,a,0.64
56,a,0.63
57,b,0.66
58,b,0.67
59,c,0.57
60,d,0.67
61,b,0.78
62,b,0.65
63,c,0.69
64,d,0.62
65,b,0.72
66,b,0.58
67,b,0.68
68,c,0.62
69,b,0.59
70,b,0.62
71,a,0.57
72,d,0.62
73,d,0.62
74,a,0.85
75,a,0.56
76,d,0.74
77,c,0.71
78,c,0.63
79,a,0.65
80,c,0.6
81,b,0.65
82,b,0.62
83,a,0.69
84,b,0.56
85,a,0.66
86,d,0.62
87,c,0.69
88,d,0.56
89,d,0.6
90,a,0.64
91,a,0.67
92,c,0.8
93,c,0.54
94,b,0.67
95,c,0.7
96,a,0.63
97,c,0.68
98,a,0.67
99,a,0.67
100,d,0.6
101,a,0.66
102,a,0.73
103,b,0.7
104,c,0.69
105,d,0.66
106,c,0.62
107,c,0.58
108,b,0.66
109,d,0.63
110,c,0.68
111,a,0.58
112,b,0.56
113,c,0.69
114,a,0.73
115,b,0.71
116,b,0.58
117,a,0.6
118,c,0.67
119,d,0.63
120,a,0.59
121,c,0.57
122,c,0.68
123,a,0.61
124,d,0.65
125,c,0.64
126,a,0.62
127,c,0.61
128,c,0.71
129,c,0.64
130,d,0.61
131,b,0.68
132,d,0.6
133,d,0.62
134,b,0.66
135,d,0.59
136,d,0.66
137,b,0.63
138,b,0.69
139,b,0.6
140,a,0.58
141,c,0.64
142,b,0.65
143,a,0.58
